trip_id	stop_id	stop_sequence	ligne	code_arret	nom_arret	arret_lat	arret_lon	direction	service_id	distance
95	23619	1	112	23619	CHAPONNAY - ROMATIERES	45.6156	4.9942	0	95	0.0
95	23609	2	112	23609	CHAPONNAY - FLASSIEU LE BAS	45.6275	4.9752	0	95	2120.0
95	23612	3	112	23612	CHAPONNAY - FLASSIEU LE HAUT	45.625	4.9678	0	95	699.0
95	23618	4	112	23618	CHAPONNAY - LA ROUSSIERE	45.6265	4.9452	0	95	1813.0
95	23616	5	112	23616	CHAPONNAY - PLACE	45.6272	4.9365	0	95	714.0
95	23613	6	112	23613	CHAPONNAY - LA CORNAZ	45.6257	4.9277	0	95	735.0
95	23567	7	112	23567	MARENNES - L'OREE DU VILLAGE	45.6235	4.9234	0	95	423.0
95	23576	8	112	23576	MARENNES - ROUTE DE VILLETTE	45.6214	4.9194	0	95	383.0
95	23572	9	112	23572	MARENNES - PLACE	45.6202	4.9155	0	95	333.0
95	23562	10	112	23562	MARENNES - LA BASCULE	45.6191	4.911	0	95	376.0
95	23577	11	112	23577	MARENNES - SERMET	45.6224	4.9105	0	95	374.0
95	23296	12	112	23296	CORBAS - PARC DE LOISIRS	45.6541	4.9058	0	95	3647.0
95	23303	13	112	23303	CORBAS - RUE DU MIDI	45.6603	4.8984	0	95	915.0
95	23298	14	112	23298	CORBAS - PLACE DE LA MAIRIE	45.6712	4.8997	0	95	1356.0
95	23290	15	112	23290	CORBAS - CIMETIERE	45.6756	4.8996	0	95	513.0
95	23869	16	112	23869	VENISSIEUX - DUCLOS	45.6974	4.8879	0	95	2922.0
95	23872	17	112	23872	VENISSIEUX - GARE DE VENISSIEUX	45.7053	4.8877	0	95	875.0
95	23876	18	112	23876	VENISSIEUX - ROND POINT PARILLY	45.72	4.8875	0	95	1735.0
96	23876	1	112	23876	VENISSIEUX - ROND POINT PARILLY	45.72	4.8875	1	96	0.0
96	23871	2	112	23871	VENISSIEUX - GARE DE VENISSIEUX	45.7047	4.8874	1	96	1796.0
96	23870	3	112	23870	VENISSIEUX - DUCLOS	45.6977	4.8874	1	96	784.0
96	23291	4	112	23291	CORBAS - CIMETIERE	45.6748	4.8999	1	96	3038.0
96	23299	5	112	23299	CORBAS - PLACE DE LA MAIRIE	45.6702	4.8983	1	96	598.0
96	23302	6	112	23302	CORBAS - RUE DU MIDI	45.66	4.899	1	96	1264.0
96	23297	7	112	23297	CORBAS - PARC DE LOISIRS	45.654	4.9054	1	96	846.0
96	23578	8	112	23578	MARENNES - SERMET	45.6221	4.9102	1	96	3689.0
96	23563	9	112	23563	MARENNES - LA BASCULE	45.6191	4.9113	1	96	375.0
96	23571	10	112	23571	MARENNES - PLACE	45.6201	4.9152	1	96	319.0
96	23575	11	112	23575	MARENNES - ROUTE DE VILLETTE	45.6215	4.9199	1	96	404.0
96	23568	12	112	23568	MARENNES - L'OREE DU VILLAGE	45.6236	4.9237	1	96	372.0
96	23614	13	112	23614	CHAPONNAY - LA CORNAZ	45.6259	4.9282	1	96	438.0
96	23615	14	112	23615	CHAPONNAY - PLACE	45.6271	4.9369	1	96	720.0
96	23617	15	112	23617	CHAPONNAY - LA ROUSSIERE	45.6263	4.9451	1	96	665.0
96	23611	16	112	23611	CHAPONNAY - FLASSIEU LE HAUT	45.6248	4.9681	1	96	1845.0
96	23610	17	112	23610	CHAPONNAY - FLASSIEU LE BAS	45.6274	4.9754	1	96	682.0
96	23619	18	112	23619	CHAPONNAY - ROMATIERES	45.6156	4.9942	1	96	2102.0
97	23619	1	112	23619	CHAPONNAY - ROMATIERES	45.6156	4.9942	0	97	0.0
97	23609	2	112	23609	CHAPONNAY - FLASSIEU LE BAS	45.6275	4.9752	0	97	2120.0
97	23612	3	112	23612	CHAPONNAY - FLASSIEU LE HAUT	45.625	4.9678	0	97	699.0
97	23618	4	112	23618	CHAPONNAY - LA ROUSSIERE	45.6265	4.9452	0	97	1813.0
97	23616	5	112	23616	CHAPONNAY - PLACE	45.6272	4.9365	0	97	714.0
97	23613	6	112	23613	CHAPONNAY - LA CORNAZ	45.6257	4.9277	0	97	735.0
97	23567	7	112	23567	MARENNES - L'OREE DU VILLAGE	45.6235	4.9234	0	97	423.0
97	23576	8	112	23576	MARENNES - ROUTE DE VILLETTE	45.6214	4.9194	0	97	383.0
97	23572	9	112	23572	MARENNES - PLACE	45.6202	4.9155	0	97	333.0
97	23562	10	112	23562	MARENNES - LA BASCULE	45.6191	4.911	0	97	376.0
97	23577	11	112	23577	MARENNES - SERMET	45.6224	4.9105	0	97	374.0
97	23296	12	112	23296	CORBAS - PARC DE LOISIRS	45.6541	4.9058	0	97	3647.0
97	23303	13	112	23303	CORBAS - RUE DU MIDI	45.6603	4.8984	0	97	915.0
97	23298	14	112	23298	CORBAS - PLACE DE LA MAIRIE	45.6712	4.8997	0	97	1356.0
97	23290	15	112	23290	CORBAS - CIMETIERE	45.6756	4.8996	0	97	513.0
97	23869	16	112	23869	VENISSIEUX - DUCLOS	45.6974	4.8879	0	97	2922.0
97	23872	17	112	23872	VENISSIEUX - GARE DE VENISSIEUX	45.7053	4.8877	0	97	875.0
97	23876	18	112	23876	VENISSIEUX - ROND POINT PARILLY	45.72	4.8875	0	97	1735.0
98	23876	1	112	23876	VENISSIEUX - ROND POINT PARILLY	45.72	4.8875	1	98	0.0
98	23871	2	112	23871	VENISSIEUX - GARE DE VENISSIEUX	45.7047	4.8874	1	98	1796.0
98	23870	3	112	23870	VENISSIEUX - DUCLOS	45.6977	4.8874	1	98	784.0
98	23291	4	112	23291	CORBAS - CIMETIERE	45.6748	4.8999	1	98	3038.0
98	23299	5	112	23299	CORBAS - PLACE DE LA MAIRIE	45.6702	4.8983	1	98	598.0
98	23302	6	112	23302	CORBAS - RUE DU MIDI	45.66	4.899	1	98	1264.0
98	23297	7	112	23297	CORBAS - PARC DE LOISIRS	45.654	4.9054	1	98	846.0
98	23578	8	112	23578	MARENNES - SERMET	45.6221	4.9102	1	98	3689.0
98	23563	9	112	23563	MARENNES - LA BASCULE	45.6191	4.9113	1	98	375.0
98	23571	10	112	23571	MARENNES - PLACE	45.6201	4.9152	1	98	319.0
98	23575	11	112	23575	MARENNES - ROUTE DE VILLETTE	45.6215	4.9199	1	98	404.0
98	23568	12	112	23568	MARENNES - L'OREE DU VILLAGE	45.6236	4.9237	1	98	372.0
98	23614	13	112	23614	CHAPONNAY - LA CORNAZ	45.6259	4.9282	1	98	438.0
